EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,D,35183,NA,OPTIDX,26000,NIFTY,NIFTY-Jul2025-30850-PE,NIFTY 31 JUL 30850 PUT,OP,NA,75,########,30850,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35189,NA,OPTIDX,26000,NIFTY,NIFTY-Jul2025-30900-CE,NIFTY 31 JUL 30900 CALL,OP,NA,75,########,30900,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35190,NA,OPTIDX,26000,NIFTY,NIFTY-Jul2025-30900-PE,NIFTY 31 JUL 30900 PUT,OP,NA,75,########,30900,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35191,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-30850-CE,NIFTY 28 AUG 30850 CALL,OP,NA,75,########,30850,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35193,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-30850-PE,NIFTY 28 AUG 30850 PUT,OP,NA,75,########,30850,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35199,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-30900-CE,NIFTY 28 AUG 30900 CALL,OP,NA,75,########,30900,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35202,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-30900-PE,NIFTY 28 AUG 30900 PUT,OP,NA,75,########,30900,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35208,NA,OPTIDX,26000,NIFTY,NIFTY-Sep2025-30850-CE,NIFTY 25 SEP 30850 CALL,OP,NA,75,########,30850,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35209,NA,OPTIDX,26000,NIFTY,NIFTY-Sep2025-30850-PE,NIFTY 25 SEP 30850 PUT,OP,NA,75,########,30850,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35213,NA,OPTIDX,26000,NIFTY,NIFTY-Sep2025-30900-CE,NIFTY 25 SEP 30900 CALL,OP,NA,75,########,30900,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35214,NA,OPTIDX,26000,NIFTY,NIFTY-Sep2025-30900-PE,NIFTY 25 SEP 30900 PUT,OP,NA,75,########,30900,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35221,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2025-30000-CE,NIFTY 24 DEC 30000 CALL,OP,NA,75,########,30000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
